ADD_PATRIARCH KingArthur male
ADD_MATRIARCH QueenMargret female
ADD_CHILD QueenMargret bill male
ADD_CHILD QueenMargret charlie male
ADD_CHILD QueenMargret percy male
ADD_CHILD QueenMargret ronald male
ADD_CHILD QueenMargret ginerva female
ADD_SPOUSE bill flora female
ADD_SPOUSE percy audery female
ADD_SPOUSE ronald helen female
ADD_SPOUSE ginerva harry male
ADD_CHILD flora victoire female
ADD_CHILD flora dominique female
ADD_CHILD flora louis male
ADD_CHILD audery molly female
ADD_CHILD audery lucy female
ADD_CHILD helen rose female
ADD_CHILD helen hugo male
ADD_CHILD ginerva james male
ADD_CHILD ginerva albus male
ADD_CHILD ginerva lily female
ADD_SPOUSE victoire ted male
ADD_SPOUSE rose malfoy male
ADD_SPOUSE james darcy female
ADD_SPOUSE albus alice female
ADD_CHILD victoire remus male
ADD_CHILD rose draco male
ADD_CHILD rose aster female
ADD_CHILD darcy william male
ADD_CHILD alice ron male
ADD_CHILD alice ginny female
